3m_buy,3m_overweight,3m_hold,3m_underweight,3m_sell,1m_buy,1m_overweight,1m_hold,1m_underweight,1m_sell,curr_buy,curr_overweight,curr_hold,curr_underweight,curr_sell
10,0,11,2,1,12,1,8,2,1,12,1,8,1,2
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,5,0,11,2,3,6,0,11,2,3
14,0,7,1,0,16,0,9,1,0,17,0,7,1,0
14,0,3,1,2,14,1,2,1,2,14,2,4,0,0
13,0,8,1,0,13,0,8,1,0,13,0,8,1,0
30,2,4,0,0,31,3,3,1,1,29,4,3,1,1
19,0,4,1,0,19,0,5,0,0,19,0,5,1,0
2,0,0,0,0,4,0,0,0,0,4,0,0,1,0
10,2,3,0,1,10,2,3,0,1,11,2,3,0,1
N/A,N/A,N/A,N/A,N/A,11,3,10,1,2,12,3,10,1,2
N/A,N/A,N/A,N/A,N/A,12,2,11,0,0,12,2,10,0,0
5,1,14,1,1,6,1,14,0,1,6,1,13,1,1
12,0,3,0,0,N/A,N/A,N/A,N/A,N/A,12,1,2,0,0
10,2,7,1,0,8,2,6,1,1,9,2,5,1,1
N/A,N/A,N/A,N/A,N/A,7,2,9,1,3,8,2,8,1,2
N/A,N/A,N/A,N/A,N/A,12,0,2,1,0,14,0,3,1,0
19,2,3,0,1,19,2,3,0,1,18,2,3,0,1
10,2,3,0,1,11,1,4,0,3,10,2,3,0,3
11,1,6,1,0,N/A,N/A,N/A,N/A,N/A,12,2,6,0,0
23,2,5,1,0,25,3,5,1,0,25,3,5,1,0
12,0,11,2,4,12,0,11,2,3,14,0,11,2,3
14,4,9,0,0,14,3,7,1,1,13,3,8,1,1
18,4,6,1,0,17,4,7,1,0,17,4,6,1,0
23,5,6,0,4,N/A,N/A,N/A,N/A,N/A,21,6,6,1,5
7,0,11,0,0,7,0,11,0,0,6,1,11,0,0
5,0,5,0,1,6,0,5,0,1,7,0,4,0,1
23,5,6,0,4,N/A,N/A,N/A,N/A,N/A,21,6,6,1,5
10,3,16,0,5,12,3,15,0,4,11,3,15,0,4
9,0,4,0,2,11,0,6,0,2,11,0,6,0,1
9,0,5,2,1,9,1,6,0,1,8,1,8,1,1
3,2,5,0,0,6,1,5,0,0,5,1,4,0,0
9,2,6,0,0,10,1,7,0,0,10,2,6,0,0
2,0,18,1,5,3,0,16,1,6,3,0,17,0,6
18,1,1,1,1,19,1,1,1,1,19,1,1,1,1
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,0,0
N/A,N/A,N/A,N/A,N/A,5,0,14,1,2,5,0,14,1,2
8,1,9,0,1,9,1,8,0,1,10,1,7,0,1
13,3,2,0,0,12,4,2,0,0,11,4,2,0,0
N/A,N/A,N/A,N/A,N/A,11,1,10,0,0,12,1,9,0,0
8,0,11,0,4,6,0,13,1,3,7,0,13,0,3
4,0,5,2,0,3,0,8,1,0,2,0,9,1,0
N/A,N/A,N/A,N/A,N/A,15,3,2,1,0,15,3,2,1,0
17,0,4,0,1,14,0,4,0,1,13,0,4,0,1
N/A,N/A,N/A,N/A,N/A,15,1,7,1,2,14,1,8,1,2
12,1,11,1,2,12,0,16,1,1,14,0,15,1,1
1,1,0,0,0,N/A,N/A,N/A,N/A,N/A,2,0,1,0,0
18,1,2,1,0,18,1,3,0,0,16,1,2,0,0
10,0,0,0,0,N/A,N/A,N/A,N/A,N/A,11,0,1,0,0
8,1,8,1,3,6,1,12,1,1,6,1,11,2,1
20,1,4,1,1,23,1,4,0,1,24,1,4,0,0
N/A,N/A,N/A,N/A,N/A,15,1,2,1,0,16,1,2,1,0
7,0,7,1,2,9,0,4,1,4,10,0,4,1,4
15,2,11,1,1,15,2,11,1,1,15,2,9,1,1
N/A,N/A,N/A,N/A,N/A,17,2,5,0,0,17,1,5,0,0
10,1,12,1,6,10,0,14,3,5,9,1,16,2,4
9,1,12,1,6,9,0,14,3,5,8,1,16,2,4
9,2,8,0,2,9,2,9,0,2,11,2,8,1,1
18,3,9,0,3,19,3,8,0,2,20,3,8,0,1
26,2,6,0,0,26,3,7,0,0,26,3,7,1,0
10,1,2,0,1,9,1,3,0,0,10,1,2,0,0
17,3,9,0,0,17,3,8,0,0,14,3,13,0,0
7,3,9,2,2,5,3,12,1,2,6,3,10,2,3
N/A,N/A,N/A,N/A,N/A,10,3,7,0,0,10,3,9,0,1
5,0,14,0,2,6,0,13,0,2,6,0,13,0,2
N/A,N/A,N/A,N/A,N/A,7,1,10,1,2,7,1,11,1,2
13,2,10,0,0,13,2,12,0,0,13,2,11,0,0
12,1,4,1,2,11,1,6,0,1,12,1,6,0,0
6,3,11,2,0,7,2,12,3,0,5,3,13,3,0
5,1,9,1,3,5,1,8,2,4,5,1,9,1,4
16,1,5,0,1,17,2,4,0,0,18,1,4,0,0
1,0,5,1,8,1,0,6,1,8,1,0,6,1,7
9,2,11,0,2,12,2,7,0,2,12,1,8,0,2
14,1,4,1,1,15,1,4,1,2,15,1,4,2,1
4,2,12,2,0,2,2,12,2,1,2,2,13,1,1
12,0,5,0,1,11,0,7,0,0,12,1,5,0,0
5,2,9,1,0,9,1,6,1,0,9,1,7,1,0
38,4,0,0,0,N/A,N/A,N/A,N/A,N/A,39,3,0,0,0
9,2,10,0,2,12,2,6,0,2,12,1,7,0,2
9,2,4,1,1,9,4,4,0,1,9,4,4,0,0
15,4,1,1,1,15,3,2,1,1,13,3,2,1,1
5,0,11,0,0,7,1,9,0,0,10,1,6,0,0
15,1,8,0,0,13,1,8,0,0,14,1,8,0,0
22,1,3,1,0,24,0,3,1,0,25,0,3,1,0
13,4,3,0,0,14,2,3,0,0,15,2,4,0,0
5,0,11,0,0,7,1,9,0,0,10,1,6,0,0
10,1,2,0,0,N/A,N/A,N/A,N/A,N/A,10,1,2,0,0
11,1,2,0,0,N/A,N/A,N/A,N/A,N/A,11,1,2,0,0
13,2,3,1,1,16,1,4,1,1,16,2,4,1,1
1,0,1,0,0,1,0,2,0,0,1,0,1,0,0
21,2,5,0,0,21,3,5,0,0,20,4,4,0,0
N/A,N/A,N/A,N/A,N/A,0,0,1,0,0,1,0,1,0,0
14,1,6,0,2,N/A,N/A,N/A,N/A,N/A,16,1,4,1,1
8,0,6,0,0,11,0,5,0,0,11,0,3,0,0
17,2,3,1,0,N/A,N/A,N/A,N/A,N/A,17,2,4,0,0
N/A,N/A,N/A,N/A,N/A,15,0,8,1,0,17,0,6,1,0
8,0,6,0,2,8,0,5,1,2,7,0,5,1,2
N/A,N/A,N/A,N/A,N/A,7,1,5,0,0,8,1,4,0,0
20,2,3,0,0,21,2,4,0,0,21,1,5,0,0
10,0,15,0,0,13,0,11,0,0,13,0,12,0,0
8,1,2,0,2,9,1,4,0,1,10,0,6,0,1
N/A,N/A,N/A,N/A,N/A,9,1,5,1,0,9,1,6,0,0
7,0,16,3,0,11,0,11,2,0,12,0,10,2,0
7,0,10,1,2,7,0,8,1,3,7,0,9,1,3
N/A,N/A,N/A,N/A,N/A,10,1,6,1,0,12,1,5,1,0
10,0,23,1,4,12,0,23,1,3,10,0,24,1,3
12,0,7,0,0,14,0,4,0,0,16,0,3,0,0
12,1,11,1,5,11,0,11,1,6,10,0,11,2,5
9,0,7,1,1,9,1,8,0,0,10,2,6,0,0
15,0,4,0,0,11,0,5,1,0,11,1,5,0,0
15,0,4,0,0,11,0,5,1,0,11,1,5,0,0
N/A,N/A,N/A,N/A,N/A,9,0,6,0,0,11,0,3,1,0
8,1,15,2,1,5,0,12,2,6,5,0,12,2,8
9,1,15,2,1,5,0,13,2,6,5,0,13,2,8
12,1,10,0,2,17,1,7,1,2,17,1,8,0,2
8,0,0,0,0,8,0,0,0,0,3,0,1,1,1
8,0,13,0,0,9,0,15,1,0,9,0,16,0,0
11,1,4,1,0,11,1,3,0,0,11,1,3,0,0
6,0,5,2,0,8,0,4,2,1,7,1,6,1,0
14,2,6,0,0,15,3,5,0,0,16,2,6,0,0
12,1,10,1,1,N/A,N/A,N/A,N/A,N/A,12,1,11,0,1
N/A,N/A,N/A,N/A,N/A,4,1,4,0,3,5,1,2,0,4
6,0,8,0,1,5,0,7,0,2,4,0,9,0,2
